Station	Lat	Long	Temp	Cond	Ox	Fluo	PAR	SPAR	Turb	Batt	Sal	Ox.1	MaxZ
1	1	35.13533333	-9.5165	18.452	4.8189	2.7816	0.078208	25.774	115.59	0.084	0.0297	36.559	5.0536	4231
2	2	34.00066667	-12.7805	18.779	4.8375	2.7786	0.073612	75.061	287.59	0.065	0.0037	36.427	5.0327	4431
3	3	29.68333333	-17.288	20.915	5.1253	2.7893	0.042319	0.50536	4.1281	0.08	0.0518	36.94	4.8571	4131
4	4	28.70166667	-18.87116667	21.408	5.1884	2.7713	0.050346	0.35003	4.1281	0.049	0.1856	37.021	4.7683	4348
5	7	21.45016667	-23.4545	24.832	5.5593	2.7673	0.033826	808.9	1946.4	0.058	0.2653	37.017	4.5116	4802
6	9	16.164	-26.0255	26.52	5.6621	2.7613	0.028927	1034	3055.3	0.534	0.194	36.414	4.3898	4393
7	10	14.51966667	-26.00033333	26.247	5.6225	2.7483	0.028258	919.67	2553.7	0.065	0.1546	36.341	4.3889	4575
8	12	9.563666667	-25.99333333	27.377	5.6235	2.7437	0.049591	78.712	366.84	0.056	0.1797	35.472	4.32	5120
9	13	7.3235	-25.99583333	27.796	5.6602	2.7549	0.0522	31.256	158.41	0.073	0.1975	35.415	4.3172	4774
10	14	4.988666667	-26.00483333	28.045	5.706	2.7555	0.059531	128.22	907.54	0.157	0.5988	35.549	4.2955	4508
11	15	2.457333333	-26.009	27.587	5.6771	2.7538	0.050512	225.08	1498.7	0.06	0.3323	35.693	4.3239	4239
12	17	-3.0295	-27.32566667	27.491	5.7338	2.7517	0.033352	416.07	1700.2	0.074	0.2565	36.169	4.3138	5238
13	18	-4.778666667	-28.16866667	27.268	5.7316	2.757	0.031678	116.97	1951.1	0.049	0.2552	36.327	4.3337	5381
14	19	-7.283166667	-29.32233333	27.109	5.7353	2.7484	0.02566	340.14	1398.4	0.044	0.2462	36.478	4.3259	5471
15	22	-13.7355	-32.37616667	26.964	5.8122	2.7569	0.022641	296.44	1372.3	0.044	0.248	37.146	4.3346	4811
16	23	-15.83083333	-33.40316667	27.329	5.8668	2.7534	0.024657	402.33	2030	0.052	0.262	37.247	4.3007	4592
17	24	-18.42416667	-34.64433333	27.203	5.8515	2.7609	0.032951	98.992	625.53	0.047	0.2672	37.236	4.325	4534
18	25	-21.09333333	-35.97233333	26.883	5.782	2.7694	0.026468	971.48	2356.2	0.066	0.2829	36.993	4.374	4241
19	26	-22.95466667	-36.92466667	26.461	5.6929	2.7458	0.030573	203.34	779.89	0.043	0.2792	36.684	4.3614	3988
20	27	-24.315	-36.22216667	26.563	5.6825	2.7367	0.027699	478.89	1525.4	0.044	0.1829	36.528	4.334	4082
21	29	-25.4265	-30.06983333	25.638	5.5901	2.7593	0.016703	577.33	2495.6	0.049	0.203	36.59	4.4481	5443
22	30	-25.86816667	-27.56733333	25.191	5.5295	2.7642	0.032179	142.26	638.73	0.064	0.2119	36.501	4.491	5073
23	32	-26.94683333	-21.39983333	24.227	5.4155	2.7673	0.023741	620.15	2179.5	0.038	0.2082	36.427	4.5661	4310
